dataset,model_name,params,flops,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms
pathmnist,VMamba-Tiny (patch=8),49472361,11987894784.0,53.75998416915536,0.29825540576266013,53.652627393603325,54.26251068711281
pathmnist,ResNet50 (fine-tuned),23530569,8174309376.0,8.697872869670391,0.02522278283471458,8.695394732058048,8.74309679493308
pathmnist,ViT (baseline),5526537,2150267712.0,12.074012961238623,0.029291946482351214,12.069469317793846,12.121044844388962
dermamnist,VMamba-Tiny (patch=8),49470823,11987891712.0,53.59328497201204,0.07005823613088474,53.5830482840538,53.70199652388692
dermamnist,ResNet50 (fine-tuned),23526471,8174301184.0,8.690452501177788,0.021546138345197287,8.689920417964458,8.723840489983559
dermamnist,ViT (baseline),5526151,2150266944.0,12.072081342339516,0.02055072255187606,12.071123346686363,12.107691261917353
bloodmnist,VMamba-Tiny (patch=8),49471592,11987893248.0,53.62903520464897,0.08068344342329833,53.62124089151621,53.77994291484356
bloodmnist,ResNet50 (fine-tuned),23528520,8174305280.0,8.694018758833408,0.03322336395836075,8.691521361470222,8.740528114140034
bloodmnist,ViT (baseline),5526344,2150267328.0,12.082256563007832,0.025684180426844047,12.080606073141098,12.12672358378768
octmnist,VMamba-Tiny (patch=8),49468516,11987887104.0,53.540364522486925,0.056182123244935,53.538925014436245,53.63179566338658
octmnist,ResNet50 (fine-tuned),23520324,8174288896.0,8.684856463223696,0.017345964597413773,8.686019107699394,8.714328985661268
octmnist,ViT (baseline),5525572,2150265792.0,12.19107398763299,0.43651777304436,12.081348337233067,13.215905334800482
